"Name";"Diameter";"TypeExit";"OnTerritoryOfMoscow";"AdmArea";"District";"Latitude_WGS84";"Longitude_WGS84";"NameMetroExit";"ObjectStatus";"global_id";"geoData";"geodata_center";
"Наименование прохода станции МЦД";"Станция МЦД";"Тип прохода";"На территории Москвы";"Административный округ";"Район";"Широта прохода в WGS-84";"Долгота прохода в WGS-84";"Ближайшие входы и выходы вестибюлей Московского метрополитена";"Статус объекта";"global_id";"geoData";"geodata_center";
"Одинцово (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.672198";"37.281430";"";"действует";"1059314872";"{coordinates=[37.28143, 55.672198], type=Point}";"";
"Одинцово (проход 2)";"nested data";"Вход-выход";"нет";"";"";"55.671064";"37.280726";"";"действует";"1059315973";"{coordinates=[37.280726, 55.671064], type=Point}";"";
"Одинцово (проход 3)";"nested data";"Вход-выход";"нет";"";"";"55.673384";"37.283735";"";"действует";"1059316135";"{coordinates=[37.283735, 55.673384], type=Point}";"";
"Одинцово (проход 4)";"nested data";"Вход-выход";"нет";"";"";"55.672908";"37.284388";"";"действует";"1059316279";"{coordinates=[37.284388, 55.672908], type=Point}";"";
"Баковка (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.682354";"37.312410";"";"действует";"1059317055";"{coordinates=[37.31241, 55.682354], type=Point}";"";
"Баковка (проход 3)";"nested data";"Вход-выход";"нет";"";"";"55.683111";"37.315642";"";"действует";"1059317525";"{coordinates=[37.315642, 55.683111], type=Point}";"";
"Баковка (проход 4)";"nested data";"Вход-выход";"нет";"";"";"55.682880";"37.316747";"";"действует";"1059317898";"{coordinates=[37.316747, 55.68288], type=Point}";"";
"Сколково (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.700414";"37.341887";"";"действует";"1059318647";"{coordinates=[37.341887, 55.700414], type=Point}";"";
"Сколково (проход 2)";"nested data";"Вход-выход";"нет";"";"";"55.698446";"37.346246";"";"действует";"1059320677";"{coordinates=[37.346246, 55.698446], type=Point}";"";
"Немчиновка (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.715538";"37.373467";"";"действует";"1059320929";"{coordinates=[37.373467, 55.715538], type=Point}";"";
"Немчиновка (проход 2)";"nested data";"Вход-выход";"нет";"";"";"55.715211";"37.374090";"";"действует";"1059321026";"{coordinates=[37.37409, 55.715211], type=Point}";"";
"Немчиновка (проход 3)";"nested data";"Вход-выход";"нет";"";"";"55.715758";"37.375219";"";"действует";"1059321219";"{coordinates=[37.375219, 55.715758], type=Point}";"";
"Сетунь (проход 1)";"nested data";"Вход-выход";"да";"Западный административный округ";"Можайский район";"55.723892";"37.396904";"";"действует";"1059321327";"{coordinates=[37.396904, 55.723892], type=Point}";"";
"Сетунь (проход 2)";"nested data";"Вход-выход";"да";"Западный административный округ";"Можайский район";"55.723180";"37.396423";"";"действует";"1059321596";"{coordinates=[37.396423, 55.72318], type=Point}";"";
"Рабочий поселок (проход 1)";"nested data";"Вход-выход";"да";"Западный административный округ";"район Кунцево";"55.727196";"37.417441";"";"действует";"1059329981";"{coordinates=[37.417441, 55.727196], type=Point}";"";
"Рабочий поселок (проход 2)";"nested data";"Вход-выход";"да";"Западный административный округ";"Можайский район";"55.726670";"37.418342";"";"действует";"1059330189";"{coordinates=[37.418342, 55.72667], type=Point}";"";
"Рабочий поселок (проход 3)";"nested data";"Вход-выход";"да";"Западный административный округ";"Можайский район";"55.726678";"37.417455";"";"действует";"1059330704";"{coordinates=[37.417455, 55.726678], type=Point}";"";
"Рабочий поселок (проход 4)";"nested data";"Вход-выход";"да";"Западный административный округ";"Можайский район";"55.726699";"37.416842";"";"действует";"1059330781";"{coordinates=[37.416842, 55.726699], type=Point}";"";
"Кунцевская (проход 6)";"nested data";"Вход-выход";"да";"Западный административный округ";"Можайский район";"55.726821";"37.446916";"Кунцевская, вход-выход 2 в западный вестибюль (Ф)";"действует";"1059330934";"{coordinates=[37.446916, 55.726821], type=Point}";"";
"Кунцевская (проход 7)";"nested data";"Вход-выход";"да";"Западный административный округ";"район Фили-Давыдково";"55.726865";"37.448582";"Кунцевская, вход-выход 1 в восточный вестибюль (Ф)";"действует";"1059340331";"{coordinates=[37.448582, 55.726865], type=Point}";"";
"Кунцевская (проход 8)";"nested data";"Вход-выход";"да";"Западный административный округ";"район Фили-Давыдково";"55.726756";"37.450374";"Кунцевская, вход-выход 1 в восточный вестибюль (Ф)";"действует";"1059340620";"{coordinates=[37.450374, 55.726756], type=Point}";"";
"Подольск (проход 1)";"nested data";"Вход-выход";"нет";"";"";"55.431409";"37.564382";"";"действует";"1059340681";"{coordinates=[37.564382, 55.431409], type=Point}";"";
