,Unnamed: 0,name,struct,addr,lat,lon
7963,7963,Муниципальное общеобразовательное учреждение Первомайская средняя общеобразовательная школа,(Муниципальное образовательное учреждение),"Москва, поселение Первомайское, п.Первомайское, ул.Парковая, д.1",55.53417,37.16415
8567,8567,Средняя общеобразовательная школа № 789,(Государственное образовательное учреждение),"117574, Москва, Юго-Западный округ,  Голубинская улица, 5-3",55.60694,37.51325
8568,8568,Средняя общеобразовательная школа № 790,(Государственное образовательное учреждение),"117574, Москва, Юго-Западный округ,  Новоясеневский проспект, 24-3",55.60595,37.52971
8569,8569,Средняя общеобразовательная школа № 794,(Государственное образовательное учреждение),"117593, Москва, Юго-Западный округ,  Литовский бульвар, 17-4",55.606687,37.544628
8570,8570,Средняя общеобразовательная школа № 864,(Государственное образовательное учреждение),"117588, Москва, Юго-Западный округ,  Литовский бульвар, 6 корп. 2",55.61006,37.5286
8571,8571,Cредняя общеобразовательная школа № 1103 имени героя РФ А. В. Соломатина,(Государственное образовательное учреждение),"117588, Москва, Юго-Западный округ,  Литовский бульвар, 44 корп. 2",55.60713,37.54219
8572,8572,Cредняя общеобразовательная школа № 1106,(Государственное образовательное учреждение),"117463, Москва, Юго-Западный округ,  Карамзина проезд, 13 корп. 3",55.59214,37.54031
8573,8573,Средняя общеобразовательная школа № 693,(Государственное образовательное учреждение),"117593, Москва, Юго-Западный округ,  Соловьиный проезд, 4-3",55.61592,37.54935
8574,8574,Средняя общеобразовательная школа № 1038,(Государственное образовательное учреждение),"129081, Москва, Северо-Восточный округ,  Ясный проезд, 21",55.87765,37.61802
8575,8575,Cредняя общеобразовательная школа № 1972,(Государственное образовательное учреждение),"117042, Москва, Юго-Западный округ,  Бартеневская улица, 49 корп. 4",55.54487,37.5195
8576,8576,Начальная школа-детский сад № 1839,(Государственное образовательное учреждение),"117042, Москва, Юго-Западный округ,  Cкобелевская улица, 18",55.54589,37.5536
8577,8577,Cредняя общеобразовательная школа № 1994,(Государственное образовательное учреждение),"117042, Москва, Юго-Западный округ,  Витте аллея, 2, к.1",55.55037,37.53753
8578,8578,Средняя общеобразовательная школа № 956,(Государственное образовательное учреждение),"127642, Москва, Северо-Восточный округ,  Заповедная улица, 22",55.86752,37.64268
8579,8579,Средняя общеобразовательная школа № 307,(Государственное образовательное учреждение),"129221, Москва, Северо-Восточный округ,  Шокальского проезд, 11, к.2",55.87509,37.64273
8580,8580,Средняя общеобразовательная школа № 300,(Государственное образовательное учреждение),"129081, Москва, Северо-Восточный округ,  Ясный проезд, 10, к.3",55.87636,37.62917
